INFO:root:
Started
INFO:root:Batch 210, Batch Loss 0.177714

INFO:root:Batch 211, Batch Loss 0.561837

INFO:root:Batch 212, Batch Loss 0.785907

INFO:root:Batch 213, Batch Loss 1.887627

INFO:root:Batch 214, Batch Loss 1.485583

INFO:root:Batch 215, Batch Loss 0.489247

INFO:root:Batch 216, Batch Loss 0.124856

INFO:root:Batch 217, Batch Loss 0.358030

INFO:root:Batch 218, Batch Loss 0.332621

INFO:root:Batch 219, Batch Loss 0.892411

INFO:root:Batch 220, Batch Loss 0.334140

INFO:root:Batch 221, Batch Loss 1.156876

INFO:root:Batch 222, Batch Loss 0.746631

INFO:root:Batch 223, Batch Loss 0.174763

INFO:root:Batch 224, Batch Loss 1.134203

INFO:root:Batch 225, Batch Loss 0.465148

INFO:root:Batch 226, Batch Loss 0.000000

INFO:root:Batch 227, Batch Loss 0.149815

INFO:root:Batch 228, Batch Loss 0.101572

INFO:root:Batch 229, Batch Loss 0.000000

INFO:root:Batch 230, Batch Loss 0.000000

INFO:root:Batch 231, Batch Loss 0.399683

INFO:root:Batch 232, Batch Loss 0.794729

INFO:root:Batch 233, Batch Loss 0.184228

INFO:root:Batch 234, Batch Loss 1.578398

INFO:root:Batch 235, Batch Loss 0.742142

INFO:root:Batch 236, Batch Loss 2.859579

INFO:root:Batch 237, Batch Loss 1.077611

INFO:root:Batch 238, Batch Loss 0.457036

INFO:root:Batch 239, Batch Loss 0.583477

INFO:root:Batch 240, Batch Loss 0.295013

INFO:root:Batch 241, Batch Loss 0.114423

INFO:root:Batch 242, Batch Loss 0.858933

INFO:root:Batch 243, Batch Loss 3.527685

INFO:root:Batch 244, Batch Loss 0.177736

INFO:root:Batch 245, Batch Loss 1.067009

INFO:root:Batch 246, Batch Loss 0.122432

INFO:root:Batch 247, Batch Loss 0.000000

INFO:root:Batch 248, Batch Loss 0.161572

INFO:root:Batch 249, Batch Loss 0.889793

INFO:root:Batch 250, Batch Loss 2.632112

INFO:root:Batch 251, Batch Loss 0.063932

INFO:root:Batch 252, Batch Loss 0.010000

INFO:root:Batch 253, Batch Loss 0.607562

INFO:root:Batch 254, Batch Loss 1.537591

INFO:root:Batch 255, Batch Loss 0.231525

INFO:root:Batch 256, Batch Loss 0.639240

INFO:root:Batch 257, Batch Loss 0.508753

INFO:root:Batch 258, Batch Loss 2.961477

INFO:root:Batch 259, Batch Loss 1.079990

INFO:root:Batch 260, Batch Loss 2.025369

INFO:root:Batch 261, Batch Loss 0.243109

INFO:root:Batch 262, Batch Loss 0.205816

INFO:root:Batch 263, Batch Loss 1.220981

INFO:root:Batch 264, Batch Loss 0.372730

INFO:root:Batch 265, Batch Loss 0.227966

INFO:root:Batch 266, Batch Loss 0.239064

INFO:root:Batch 267, Batch Loss 1.204321

INFO:root:Batch 268, Batch Loss 0.864798

INFO:root:Batch 269, Batch Loss 0.445220

INFO:root:Batch 270, Batch Loss 1.390172

INFO:root:Batch 271, Batch Loss 0.528861

INFO:root:Batch 272, Batch Loss 0.119941

INFO:root:Batch 273, Batch Loss 0.128521

INFO:root:Batch 274, Batch Loss 1.102087

INFO:root:Batch 275, Batch Loss 0.503881

INFO:root:Batch 276, Batch Loss 0.121297

INFO:root:Batch 277, Batch Loss 0.905976

INFO:root:Batch 278, Batch Loss 0.000000
